age,gender,financial_risk_assessment,yearly_income,product_category,debt_comfort_level,online_purchase_frequency
30,2,9,63120,4,2,3
47,1,8,16929,2,8,8
24,1,6,96384,3,5,8
48,1,1,72383,3,6,4
24,2,6,44843,4,4,2
28,1,10,39177,4,8,5
31,3,9,69911,2,7,9
38,1,8,96889,2,1,4
34,2,4,33347,2,1,1
23,1,7,97463,1,7,8
37,1,1,24775,2,2,4
46,3,7,37796,1,5,6
40,1,9,86370,4,7,2
20,1,7,47183,2,5,9
49,1,6,73743,2,6,7
50,1,2,49074,4,9,3
31,1,7,62497,4,9,6
43,1,3,13205,3,4,6
30,3,10,14583,4,7,9
35,3,7,51186,3,1,6
25,2,5,85549,1,4,1
48,2,1,60763,3,5,7
39,3,7,76672,2,7,8
33,3,10,96025,3,10,9
30,2,5,68529,4,7,8
32,1,3,31615,4,9,3
47,2,8,17719,1,7,6
31,2,1,26840,2,10,1
36,2,8,83238,4,4,4
40,1,2,60285,2,5,3
38,2,2,25347,1,1,1
33,3,7,73342,3,3,10
49,3,5,39548,4,2,1
28,1,7,84756,1,7,1
25,3,2,60067,2,9,5
37,1,9,43808,4,9,4
50,1,9,67070,3,8,8
42,2,6,81243,2,4,10
42,1,6,81775,2,2,9
35,1,6,37699,1,10,8
31,2,5,16617,2,6,6
27,1,10,43245,4,7,7
46,2,10,16529,1,9,1
27,3,9,90774,2,1,4
29,1,8,71610,3,1,10
33,1,3,70871,3,3,2
39,3,6,54913,1,3,9
34,2,8,46928,4,10,10
29,2,8,41226,4,2,10
20,3,2,22340,2,10,2
38,1,8,68386,1,10,3
31,2,1,40125,3,3,6
39,3,3,66734,4,2,3
27,2,8,54355,2,7,7
37,1,8,74257,1,8,3
36,3,5,83177,2,2,5
44,2,10,18539,4,9,2
42,3,9,70052,2,6,10
44,3,9,75160,1,4,2
35,3,9,67067,4,3,5
34,1,3,97878,1,6,1
22,2,2,75443,3,4,10
37,1,5,44978,2,8,9
28,1,10,76999,4,7,2
37,1,2,92620,3,1,6
30,3,4,56933,4,8,6
49,1,6,52491,1,4,7
29,3,9,24091,1,8,6
38,2,7,54301,3,2,5
37,2,8,59689,3,3,10
38,2,2,14181,3,8,2
38,2,6,81974,4,7,1
20,3,7,92137,3,9,4
29,1,6,96040,3,1,6
40,3,7,98296,3,2,3
43,1,9,76718,4,4,7
47,2,10,14682,3,10,8
49,1,7,55675,4,1,7
35,3,6,88688,1,6,10
39,1,1,60470,4,2,1
34,3,5,54247,4,8,9
33,3,2,17375,1,3,8
43,2,8,84858,4,10,7
40,1,2,15055,1,4,2
37,1,1,71040,2,10,4
43,3,9,54452,3,2,5
47,2,5,39033,3,4,10
35,3,9,10075,1,2,5
32,2,8,90588,2,10,1
22,3,10,28711,4,8,5
46,1,1,36751,4,9,2
30,1,9,18101,2,7,7
42,2,5,48370,2,3,6
31,1,10,17345,3,1,9
39,1,6,19494,3,9,2
41,2,6,50913,4,6,10
35,3,7,37872,1,10,8
38,2,4,66050,4,4,10
50,1,9,22281,3,8,10
27,1,6,29616,1,1,1
48,2,4,86174,1,1,4
32,3,4,74833,3,10,5
29,3,9,18203,3,4,7
49,2,6,31676,3,10,4
37,2,10,11904,4,3,3
50,3,8,67532,3,2,1
32,1,7,25569,1,2,2
30,3,9,70046,4,6,3
41,1,6,14513,3,4,4
20,1,6,39026,3,5,9
38,3,3,89983,4,3,4
32,3,9,85975,1,10,5
39,2,9,44888,4,6,1
41,3,3,48928,3,2,4
23,2,1,52370,3,10,3
23,3,10,36093,2,7,8
21,3,8,55799,3,7,4
30,3,9,76064,2,9,8
23,1,9,16952,4,3,1
27,3,8,70730,4,4,7
21,1,7,17947,1,4,4
40,1,4,95767,2,3,1
31,2,7,93727,1,5,7
31,3,5,37251,4,4,4
39,2,5,58698,1,2,4
31,2,1,97493,1,2,9
21,3,9,40012,4,3,10
20,3,3,24425,1,10,8
41,2,7,12232,2,9,1
48,2,5,29168,4,3,8
45,2,2,84028,4,6,10
21,3,3,98165,2,6,10
41,2,2,36453,2,1,4
38,1,1,88297,3,7,9
29,3,8,31271,3,9,1
43,1,1,52363,1,3,4
30,2,4,92123,1,6,2
25,1,4,70015,3,9,8
44,1,2,60783,4,9,3
47,3,4,81517,2,1,3
21,2,9,95863,3,9,2
32,1,5,91793,1,1,5
47,1,10,23057,1,7,2
44,2,7,19012,2,8,7
42,1,5,13061,4,3,10
30,3,3,14070,1,4,2
24,1,9,31458,3,3,10
26,3,7,79347,1,5,5
23,3,3,73674,2,2,8
48,3,10,34209,2,2,3
26,2,5,77313,3,7,7
28,2,9,44947,1,2,9
37,3,6,34910,4,2,9
30,1,3,95755,1,1,4
49,2,7,59001,1,9,1
46,3,3,59133,3,7,4
25,2,7,71734,4,5,7
31,2,2,68539,1,9,3
50,2,6,91033,4,7,10
26,2,2,48998,4,8,5
29,3,5,88098,3,7,2
25,2,10,84376,1,8,8
44,3,8,36563,2,4,5
27,3,3,51496,2,5,4
48,2,10,31733,4,7,5
46,1,1,63536,3,10,4
30,2,8,36456,4,2,5
50,2,8,33763,4,5,3
23,2,10,25491,3,8,9
39,2,3,29121,2,1,7
47,3,5,12649,2,4,3
44,3,2,46101,4,2,6
50,3,6,87337,1,2,9
34,3,7,97488,1,9,7
45,3,9,43574,1,6,4
50,1,2,16640,1,8,10
27,1,10,30396,3,9,2
22,3,8,16396,4,10,7
34,2,3,70794,3,8,2
41,1,10,84660,1,3,4
50,2,9,60463,2,4,5
24,1,1,42635,3,9,5
46,2,9,36165,4,3,10
37,3,7,95345,2,2,6
25,3,1,64933,1,10,7
20,2,2,39515,1,8,7
30,3,7,20017,2,7,1
30,2,2,41220,3,2,10
21,2,1,46339,3,7,7
47,2,8,31768,2,10,4
43,2,3,20744,2,1,2
49,1,8,39133,2,1,4
27,3,3,90329,3,6,6
48,3,1,99952,3,2,3
32,2,4,21618,1,2,4
28,2,9,84632,2,7,2
43,3,2,30467,2,10,5
46,3,1,36944,2,5,10
27,3,7,43217,1,4,8
46,2,1,45613,3,8,2
42,3,2,98497,2,7,6
34,3,4,50874,3,1,8
23,2,1,40685,1,10,10
35,3,7,85409,3,6,7
37,3,7,98586,1,8,6
38,1,10,42011,2,5,2
42,1,10,62439,3,3,1
39,3,4,86644,1,6,3
27,1,2,17656,2,5,8
